segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-24T17:50:29,A,480p,600,2028.19,0.2958,7.635,7.635,2.0,0,1,0.3,0
2,2026-06-24T17:50:30,A,1080p,1200,2028.19,0.5917,19.4537,9.1123,3.41,1,0,0.0,0
3,2026-06-24T17:50:31,A,1080p,1200,2029.77,0.5912,24.2547,11.0051,4.82,1,0,0.0,0
4,2026-06-24T17:50:32,A,1080p,1200,2028.18,0.5917,15.4664,11.5628,6.23,1,0,0.0,0
5,2026-06-24T17:50:33,A,1080p,1200,2028.01,0.5917,16.4924,12.179,7.63,1,0,0.0,0
6,2026-06-24T17:50:34,A,1080p,1200,2029.15,0.5914,15.6737,12.6158,9.04,1,0,0.0,0
7,2026-06-24T17:50:35,A,1080p,1200,2278.18,0.5267,19.9402,13.5314,10.52,1,0,0.0,0
8,2026-06-24T17:50:37,A,1080p,1200,2030.55,0.591,15.4046,13.7655,11.92,1,0,0.0,0
9,2026-06-24T17:50:38,A,1080p,1200,2027.46,0.5919,36.8872,16.6557,13.33,1,0,0.0,0
10,2026-06-24T17:50:40,srv-B,1080p,1200,1052.21,1.1405,5.5586,15.2686,14.19,1,0,0.0,1
11,2026-06-24T17:50:42,A,1080p,1200,2027.59,0.5918,19.1242,15.7505,14.19,1,0,0.0,1
12,2026-06-24T17:50:45,A,1080p,1200,2257.49,0.5316,22.746,16.625,14.19,1,0,0.0,1
13,2026-06-24T17:50:47,A,1080p,1200,2504.11,0.4792,16.7885,16.6454,14.19,1,0,0.0,1
14,2026-06-24T17:50:50,A,1080p,1200,2389.21,0.5023,17.9174,16.8044,14.19,1,0,0.0,1
15,2026-06-24T17:50:52,A,1080p,1200,2024.96,0.5926,16.2791,16.7388,14.19,1,0,0.0,1
16,2026-06-24T17:50:55,A,1080p,1200,2028.36,0.5916,15.563,16.5918,14.19,1,0,0.0,1
17,2026-06-24T17:50:57,A,1080p,1200,2228.42,0.5385,21.6725,17.2269,14.19,1,0,0.0,1
18,2026-06-24T17:51:00,A,1080p,1200,2402.24,0.4995,16.8636,17.1815,14.19,1,0,0.0,1
19,2026-06-24T17:51:02,A,1080p,1200,2030.08,0.5911,14.5661,16.8545,14.19,1,0,0.0,1
20,2026-06-24T17:51:04,A,1080p,1200,2030.85,0.5909,21.3074,17.4111,14.19,1,0,0.0,1
